"ANO";"AUTO";"BICICLETA";"BOLETIM";"CAMINHAO";"CARROCA";"CONSORCIO";"CONT_ACID";"CONT_VIT";"CORREDOR";"DIA";"DIA_SEM";"FATAIS";"FERIDOS";"FERIDOS_GR";"FONTE";"FX_HORA";"ID";"LATITUDE";"LOCAL";"LOCAL_VIA";"LOG1";"LOG2";"LONGITUDE";"LOTACAO";"MES";"MORTE_POST";"MORTES";"MOTO";"NOITE_DIA";"ONIBUS_INT";"ONIBUS_MET";"ONIBUS_URB";"OUTRO";"PREDIAL1";"QUEDA_ARR";"REGIAO";"TAXI";"TEMPO";"TIPO_ACID";"UPS"
2013;2;0;"249583";0;0;"";1;0;0;9;"QUARTA-FEIRA";0;"0";0;"EPTC";14;"559272";-30 034782;"Cruzamento";"R GEN VASCO ALVES & R DUQUE DE CAXIAS";"R GEN VASCO ALVES";"R DUQUE DE CAXIAS";-51 237953;"0";1;0;0;0;"DIA";"0";0;"0";0;0;0;"CENTRO";"0";"BOM";"COLISAO";1
2013;1;0;"243097";0;0;"";1;0;0;9;"QUARTA-FEIRA";0;"0";0;"EPTC";17;"559267";-30 023981;"Logradouro";"71 LG VESPASIANO JULIO VEPPO";"LG VESPASIANO JULIO VEPPO";"";-51 219021;"0";1;0;0;0;"DIA";"0";0;"0";0;71;0;"CENTRO";"1";"BOM";"COLISAO";1
2013;2;0;"239061";0;0;"";1;0;0;9;"QUARTA-FEIRA";0;"0";0;"EPTC";18;"559381";-30 024183;"Logradouro";"20 R GARIBALDI";"R GARIBALDI";"";-51 21898;"0";1;0;0;1;"NOITE";"0";0;"0";0;20;0;"CENTRO";"0";"BOM";"ABALROAMENTO";1
2013;1;0;"250219";0;0;"";1;0;0;9;"QUARTA-FEIRA";0;"0";0;"EPTC";18;"559269";-30 027114;"Logradouro";"TUN NS DA CONCEICAO-PLAY GROUND";"TUN NS DA CONCEICAO-PLAY GROUND";"";-51 219285;"0";1;0;0;0;"NOITE";"0";1;"0";0;0;0;"CENTRO";"0";"BOM";"ABALROAMENTO";1
2013;0;1;"26413";0;0;"";1;0;0;10;"QUINTA-FEIRA";0;"0";0;"DEPTRAN";16;"559337";-30 030953;"Logradouro";"187 R SARMENTO LEITE";"R SARMENTO LEITE";"";-51 219629;"0";1;0;0;0;"DIA";"0";0;"0";0;187;0;"CENTRO";"1";"BOM";"ABALROAMENTO";1
2013;2;0;"236273";0;0;"";1;0;0;10;"QUINTA-FEIRA";0;"0";0;"EPTC";16;"559382";-30 028422;"Logradouro";"1100 R SIQUEIRA CAMPOS";"R SIQUEIRA CAMPOS";"";-51 230652;"0";1;0;0;0;"DIA";"0";0;"0";0;1100;0;"CENTRO";"0";"BOM";"COLISAO";1
2013;1;0;"25713";0;0;"";1;1;0;10;"QUINTA-FEIRA";0;"1";0;"DEPTRAN";22;"559314";-30 034355;"Logradouro";"110 R ENG LUIZ ENGLERT";"R ENG LUIZ ENGLERT";"";-51 219415;"0";1;0;0;0;"NOITE";"0";0;"0";0;110;0;"CENTRO";"0";"BOM";"ATROPELAMENTO";5
2013;2;0;"236327";0;0;"";1;0;0;11;"SEXTA-FEIRA";0;"0";0;"EPTC";8;"559387";-30 030789;"Cruzamento";"AV BORGES DE MEDEIROS & AV SENADOR SALGADO FILHO";"AV BORGES DE MEDEIROS";"AV SENADOR SALGADO FILHO";-51 227692;"0";1;0;0;0;"DIA";"0";0;"0";0;0;0;"CENTRO";"0";"BOM";"COLISAO";1
2013;1;0;"235336";0;0;"";1;0;0;11;"SEXTA-FEIRA";0;"0";0;"EPTC";9;"559385";-30 035215;"Logradouro";"551 AV PRESIDENTE JOAO GOULART";"AV PRESIDENTE JOAO GOULART";"";-51 240875;"0";1;0;0;1;"DIA";"0";0;"0";0;551;0;"CENTRO";"0";"BOM";"ABALROAMENTO";1
2013;0;0;"28213";0;0;"STS";1;1;0;11;"SEXTA-FEIRA";0;"1";0;"DEPTRAN";15;"559369";-30 037874;"Logradouro";"689 AV JOAO PESSOA";"AV JOAO PESSOA";"";-51 218968;"0";1;0;0;0;"DIA";"0";0;"1";0;689;0;"CENTRO";"0";"BOM";"QUEDA";5
2013;2;0;"236509";0;0;"";1;0;0;11;"SEXTA-FEIRA";0;"0";0;"EPTC";16;"559395";-30 036512;"Logradouro";"531 AV JOAO PESSOA";"AV JOAO PESSOA";"";-51 219947;"0";1;0;0;0;"DIA";"0";0;"0";0;531;0;"CENTRO";"0";"BOM";"COLISAO";1
2013;1;0;"249551";0;0;"";1;0;0;11;"SEXTA-FEIRA";0;"0";0;"EPTC";16;"559396";-30 032535;"Logradouro";"202 R JERONIMO COELHO";"R JERONIMO COELHO";"";-51 227202;"0";1;0;0;0;"DIA";"0";0;"0";0;202;0;"CENTRO";"1";"BOM";"ABALROAMENTO";1
2013;1;0;"249624";0;0;"";1;0;0;12;"SABADO";0;"0";0;"EPTC";14;"559393";-30 031573;"Cruzamento";"R RIACHUELO & LG JOAO AMORIM DE ALBUQUERQUE";"R RIACHUELO";"LG JOAO AMORIM DE ALBUQUERQUE";-51 22947;"0";1;0;0;0;"DIA";"0";0;"0";0;0;0;"CENTRO";"1";"BOM";"COLISAO";1
2013;1;0;"37213";0;0;"";1;0;0;12;"SABADO";0;"0";0;"DEPTRAN";15;"559448";-30 032136;"Logradouro";"158 AV PRESIDENTE JOAO GOULART";"AV PRESIDENTE JOAO GOULART";"";-51 239024;"0";1;0;0;1;"DIA";"0";0;"0";0;158;0;"CENTRO";"0";"BOM";"ABALROAMENTO";1
2013;2;0;"34813";0;0;"";1;1;0;12;"SABADO";0;"3";0;"DEPTRAN";21;"559429";-30 024348;"Logradouro";"566 AV JULIO DE CASTILHOS";"AV JULIO DE CASTILHOS";"";-51 221544;"0";1;0;0;0;"NOITE";"0";0;"0";0;566;0;"CENTRO";"0";"BOM";"ABALROAMENTO";5
2013;2;0;"249714";0;0;"";1;0;0;13;"DOMINGO";0;"0";0;"EPTC";15;"559398";-30 034766;"Cruzamento";"AV LOUREIRO DA SILVA & AV JOAO PESSOA";"AV LOUREIRO DA SILVA";"AV JOAO PESSOA";-51 221243;"0";1;0;0;0;"DIA";"0";0;"0";0;0;0;"CENTRO";"0";"BOM";"COLISAO";1
2013;1;1;"38213";0;0;"";1;1;0;14;"SEGUNDA-FEIRA";0;"1";0;"DEPTRAN";11;"559463";-30 023291;"Logradouro";"2011 AV MAUA";"AV MAUA";"";-51 221178;"0";1;0;0;0;"DIA";"0";0;"0";0;2011;0;"CENTRO";"0";"BOM";"ABALROAMENTO";5
2013;0;0;"38613";0;0;"CONORTE";1;1;0;14;"SEGUNDA-FEIRA";0;"1";0;"DEPTRAN";12;"559468";-30 028056;"Logradouro";"105 R DR FLORES";"R DR FLORES";"";-51 224558;"0";1;0;0;0;"DIA";"0";0;"1";0;105;0;"CENTRO";"0";"BOM";"ATROPELAMENTO";5
